Pais,Num_Fallecidos
Afghanistan,2935539
Albania,1348626
Algeria,2706989
Andorra,77113
Angola,620494
Antarctica,0
Antigua and Barbuda,34405
Argentina,49662969
Armenia,2938057
Australia,6553
Australia,292060
Australia,2237
Australia,56750
Australia,22273
Australia,10963
Australia,714889
Australia,9036
Austria,5831233
Azerbaijan,3102068
Bahamas,233196
Bahrain,582580
Bangladesh,10742085
Barbados,65997
Belarus,2093791
Belgium,15289286
Belize,222140
Benin,66916
Bhutan,1519
Bolivia,9323496
Bosnia and Herzegovina,5225944
Botswana,788026
Brazil,270096183
Brunei,26699
Bulgaria,10869706
Burkina Faso,122325
Burma,5731781
Burundi,11509
Cabo Verde,151694
Cambodia,769814
Cameroon,738377
Canada,1366284
Canada,1020331
Canada,764
Canada,0
Canada,606998
Canada,53720
Canada,12032
Canada,3063
Canada,68571
Canada,1843
Canada,5500750
Canada,1456
Canada,7039146
Canada,0
Canada,343797
Canada,4414
Central African Republic,56611
Chad,100859
Chile,18741729
China,4823
China,7107
China,4829
China,795
China,1613
China,6361
China,1608
China,1607
China,4809
China,5283
China,10464
China,17620
China,461859
China,3521564
China,3206
China,783
China,0
China,805
China,2046
China,1569
China,0
China,0
China,0
China,2338
China,5555
China,5675
China,0
China,2415
China,2416
China,0
China,5
China,2382
China,1591
China,795
Colombia,55599402
Comoros,69629
Congo (Brazzaville),128431
Congo (Kinshasa),538383
Costa Rica,2798605
Cote d'Ivoire,256971
Croatia,4676847
Cuba,2221410
Cyprus,248380
Czechia,15105465
Denmark,3733
Denmark,1500
Denmark,1623174
Diamond Princess,10042
Djibouti,83635
Dominica,9940
Dominican Republic,2206581
Ecuador,15007560
Egypt,9347359
El Salvador,1556922
Equatorial Guinea,81485
Eritrea,21299
Estonia,701026
Eswatini,487508
Ethiopia,2624330
Fiji,187437
Finland,752342
France,118992
France,190529
France,265805
France,207566
France,87366
France,58321
France,156006
France,1436
France,83
France,18956
France,2688
France,62295617
Gabon,104629
Gambia,141393
Georgia,4244546
Germany,47819496
Ghana,529737
Greece,7493397
Grenada,43983
Guatemala,6208378
Guinea,145063
Guinea-Bissau,58697
Guyana,342042
Haiti,298057
Holy See,0
Honduras,4228656
Hungary,15022362
Iceland,23019
India,196440742
Indonesia,49784418
Iran,54873081
Iraq,11065139
Ireland,2955328
Israel,3862732
Italy,71542698
Jamaica,790247
Japan,7843486
Jordan,4956586
Kazakhstan,6079561
Kenya,2117185
Kiribati,858
"Korea, South",2180794
Kosovo,1307985
Kuwait,1106550
Kyrgyzstan,1292846
Laos,82090
Latvia,1523315
Lebanon,3776158
Lesotho,229370
Liberia,110756
Libya,2118053
Liechtenstein,31181
Lithuania,2639073
Luxembourg,440221
MS Zaandam,1508
Madagascar,454715
Malawi,880075
Malaysia,8129897
Maldives,98647
Mali,291320
Malta,225936
Marshall Islands,0
Mauritania,358024
Mauritius,144689
Mexico,136112113
Micronesia,0
Moldova,3788073
Monaco,17390
Mongolia,514058
Montenegro,925459
Morocco,6310000
Mozambique,702416
Namibia,1180026
Nepal,4195229
Netherlands,70918
Netherlands,8581
Netherlands,69465
Netherlands,30239
Netherlands,10569552
New Zealand,0
New Zealand,36050
Nicaragua,123535
Niger,123525
Nigeria,1397038
North Macedonia,3136779
Norway,574439
Oman,1728292
Pakistan,12543811
Palau,413
Panama,3732145
Papua New Guinea,143639
Paraguay,6124308
Peru,101803793
Philippines,17269918
Poland,38312470
Portugal,9050237
Qatar,295568
Romania,20653324
Russia,99975149
Rwanda,428637
Saint Kitts and Nevis,7078
Saint Lucia,83283
Saint Vincent and the Grenadines,20055
Samoa,181
San Marino,55897
Sao Tome and Principe,25531
Saudi Arabia,4707199
Senegal,762155
Serbia,4520619
Seychelles,41321
Sierra Leone,66196
Singapore,185501
Slovakia,6230564
Slovenia,2407700
Solomon Islands,8815
Somalia,463559
South Africa,38477071
South Sudan,67132
Spain,48513351
Sri Lanka,3937305
Sudan,1595236
Summer Olympics 2020,0
Suriname,367716
Sweden,8487508
Switzerland,6067578
Syria,1055091
Taiwan*,266053
Tajikistan,69216
Tanzania,169022
Thailand,5395569
Timor-Leste,31355
Togo,96084
Tonga,290
Trinidad and Tobago,755475
Tunisia,9319573
Turkey,30766887
US,375957583
Uganda,1034517
Ukraine,33172856
United Arab Emirates,981744
United Kingdom,1192
United Kingdom,32321
United Kingdom,12933
United Kingdom,3465
United Kingdom,0
United Kingdom,0
United Kingdom,44597
United Kingdom,14641
United Kingdom,28898
United Kingdom,46627
United Kingdom,810
United Kingdom,4
United Kingdom,11383
United Kingdom,76531466
Uruguay,2259729
Uzbekistan,590422
Vanuatu,482
Venezuela,1882064
Vietnam,7450803
West Bank and Gaza,1939055
Winter Olympics 2022,0
Yemen,828029
Zambia,1350569
Zimbabwe,1677518
